type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2022-04-26 15:55:29+0000,3429,0.0,1.800000071525574,0.0,0.0,436.0
1,2022-04-23 17:39:25+0000,32,324.0,0.3242505788803101,49.0,0.6449999809265137,1.0
16,2022-04-23 11:43:01+0000,572,0.0,1.800000071525574,0.0,0.0,75.0
49,2022-04-23 11:20:36+0000,1329,0.0,1.800000071525574,0.0,0.0,223.0
16,2022-04-23 11:02:42+0000,1059,0.0,1.800000071525574,0.0,0.0,91.0
8,2022-04-23 10:50:33+0000,33,516.0,0.5093204379081726,40.0,0.8230000138282776,2.0
16,2022-04-21 16:48:47+0000,1224,0.0,1.800000071525574,0.0,0.0,125.0
49,2022-04-21 16:15:48+0000,1956,0.0,1.800000071525574,0.0,0.0,278.0
16,2022-04-21 15:58:03+0000,1052,0.0,1.800000071525574,0.0,0.0,117.0
1,2022-04-20 14:16:33+0000,145,323.0,0.3237872421741486,179.0,0.8069999814033508,7.0
16,2022-04-19 16:10:21+0000,5622,0.0,1.800000071525574,0.0,0.0,499.0
49,2022-04-19 15:30:16+0000,1670,0.0,1.800000071525574,0.0,0.0,271.0
16,2022-04-16 10:14:36+0000,1672,0.0,1.800000071525574,0.0,0.0,165.0
49,2022-04-16 09:55:38+0000,814,0.0,1.800000071525574,0.0,0.0,155.0
49,2022-04-16 09:55:16+0000,16,0.0,1.800000071525574,0.0,0.0,1.0
16,2022-04-14 16:16:21+0000,2325,0.0,1.800000071525574,0.0,0.0,163.0
49,2022-04-14 15:44:13+0000,1465,0.0,1.800000071525574,0.0,0.0,284.0
16,2022-04-12 16:11:53+0000,1476,0.0,1.800000071525574,0.0,0.0,193.0
16,2022-04-11 16:25:12+0000,2236,0.0,1.800000071525574,0.0,0.0,267.0
49,2022-04-11 15:48:26+0000,1729,0.0,1.800000071525574,0.0,0.0,336.0
49,2022-04-08 17:04:38+0000,620,0.0,1.800000071525574,0.0,0.0,129.0
16,2022-04-08 16:25:06+0000,2282,0.0,1.800000071525574,0.0,0.0,118.0
16,2022-04-07 16:04:45+0000,2975,0.0,1.800000071525574,0.0,0.0,300.0
49,2022-04-07 15:39:40+0000,1491,0.0,1.800000071525574,0.0,0.0,241.0
16,2022-04-05 15:57:54+0000,2606,0.0,1.800000071525574,0.0,0.0,228.0
16,2022-04-04 16:34:27+0000,1374,0.0,1.800000071525574,0.0,0.0,153.0
49,2022-04-04 16:06:32+0000,1664,0.0,1.800000071525574,0.0,0.0,285.0
1,2022-04-03 17:27:50+0000,85,326.0,0.3237870037555695,140.0,0.6050000190734863,1.0
49,2022-04-02 08:44:22+0000,686,0.0,1.800000071525574,0.0,0.0,114.0
16,2022-04-01 13:59:29+0000,2167,0.0,1.800000071525574,0.0,0.0,288.0
16,2022-03-31 16:08:56+0000,2123,0.0,1.800000071525574,0.0,0.0,210.0
49,2022-03-31 15:48:30+0000,1132,0.0,1.800000071525574,0.0,0.0,197.0
16,2022-03-29 15:46:36+0000,2227,0.0,1.800000071525574,0.0,0.0,179.0
16,2022-03-28 16:38:59+0000,1423,0.0,1.800000071525574,0.0,0.0,110.0
49,2022-03-28 15:41:54+0000,1544,0.0,1.800000071525574,0.0,0.0,213.0
16,2022-03-26 09:42:08+0000,2258,0.0,1.800000071525574,0.0,0.0,271.0
49,2022-03-24 16:43:04+0000,2370,0.0,1.800000071525574,0.0,0.0,401.0
49,2022-03-22 21:33:27+0000,458,0.0,1.800000071525574,0.0,0.0,62.0
16,2022-03-22 17:06:46+0000,1093,0.0,1.800000071525574,0.0,0.0,119.0
49,2022-03-22 16:45:11+0000,908,0.0,1.800000071525574,0.0,0.0,191.0
49,2022-03-21 18:38:05+0000,1895,0.0,1.800000071525574,0.0,0.0,328.0
16,2022-03-21 17:48:03+0000,2771,0.0,1.800000071525574,0.0,0.0,255.0
49,2022-03-17 17:16:52+0000,850,0.0,1.800000071525574,0.0,0.0,140.0
16,2022-03-17 16:47:59+0000,1729,0.0,1.800000071525574,0.0,0.0,206.0
49,2022-03-15 17:09:53+0000,728,0.0,1.800000071525574,0.0,0.0,150.0
16,2022-03-15 16:58:11+0000,693,0.0,1.800000071525574,0.0,0.0,55.0
16,2022-03-14 16:51:30+0000,4125,0.0,1.800000071525574,0.0,0.0,424.0
16,2022-03-11 18:16:48+0000,1317,0.0,1.800000071525574,0.0,0.0,143.0
49,2022-03-11 17:42:47+0000,1536,0.0,1.800000071525574,0.0,0.0,306.0
16,2022-03-10 16:45:28+0000,3061,0.0,1.800000071525574,0.0,0.0,317.0
45,2022-03-08 14:27:24+0000,968,0.0,1.800000071525574,0.0,0.0,156.0
16,2022-03-08 13:47:42+0000,2250,0.0,1.800000071525574,0.0,0.0,237.0
1,2022-03-06 07:45:47+0000,1249,226.0,0.226988822221756,4300.0,0.2899999916553497,279.0
1,2022-03-06 07:45:41+0000,1299,4.166666984558105,0.2099957913160324,4350.0,0.298390805721283,271.0
16,2022-03-04 17:08:12+0000,1523,0.0,1.800000071525574,0.0,0.0,151.0
49,2022-03-04 16:20:39+0000,2004,0.0,1.800000071525574,0.0,0.0,380.0
16,2022-03-02 12:24:16+0000,2118,0.0,1.800000071525574,0.0,0.0,247.0
45,2022-03-02 11:57:21+0000,1605,0.0,1.800000071525574,0.0,0.0,234.0
49,2022-02-28 13:56:26+0000,1760,0.0,1.800000071525574,0.0,0.0,261.0
16,2022-02-28 13:21:05+0000,1438,0.0,1.800000071525574,0.0,0.0,207.0
16,2022-02-26 10:59:23+0000,2223,0.0,1.800000071525574,0.0,0.0,264.0
49,2022-02-26 10:29:07+0000,1317,0.0,1.800000071525574,0.0,0.0,250.0
16,2022-02-26 10:06:59+0000,1322,0.0,1.800000071525574,0.0,0.0,151.0
16,2022-02-24 17:11:35+0000,3784,0.0,1.800000071525574,0.0,0.0,428.0
49,2022-02-24 16:50:41+0000,1248,0.0,1.800000071525574,0.0,0.0,253.0
16,2022-02-22 17:09:31+0000,2007,0.0,1.800000071525574,0.0,0.0,154.0
49,2022-02-22 16:43:18+0000,1113,0.0,1.800000071525574,0.0,0.0,228.0
16,2022-02-21 16:18:45+0000,1841,0.0,1.800000071525574,0.0,0.0,225.0
10,2022-02-21 15:50:45+0000,1615,0.0,1.800000071525574,0.0,0.0,230.0
49,2022-02-20 14:29:45+0000,78,0.0,1.800000071525574,0.0,0.0,8.0
49,2022-02-18 16:23:41+0000,991,0.0,1.800000071525574,0.0,0.0,212.0
16,2022-02-17 17:09:26+0000,1118,0.0,1.800000071525574,0.0,0.0,143.0
49,2022-02-17 16:45:56+0000,1153,0.0,1.800000071525574,0.0,0.0,222.0
49,2022-02-15 17:06:45+0000,2311,0.0,1.800000071525574,0.0,0.0,295.0
16,2022-02-15 16:45:51+0000,1244,0.0,1.800000071525574,0.0,0.0,158.0
16,2022-02-14 16:02:25+0000,2049,0.0,1.800000071525574,0.0,0.0,247.0
23,2022-02-14 15:34:16+0000,1285,0.0,1.800000071525574,0.0,0.0,196.0
16,2022-02-12 08:39:00+0000,2981,0.0,1.800000071525574,0.0,0.0,241.0
49,2022-02-10 18:48:58+0000,558,0.0,1.800000071525574,0.0,0.0,95.0
16,2022-02-10 17:43:26+0000,3605,0.0,1.800000071525574,0.0,0.0,387.0
49,2022-02-08 16:42:58+0000,2727,0.0,1.800000071525574,0.0,0.0,370.0
45,2022-02-05 09:26:10+0000,1039,0.0,1.800000071525574,0.0,0.0,181.0
16,2022-02-05 08:56:41+0000,1747,0.0,1.800000071525574,0.0,0.0,160.0
8,2022-02-03 16:44:55+0000,1112,316.0,0.3079391419887543,2520.0,0.4410000145435333,171.0
45,2022-02-02 13:40:44+0000,1078,0.0,1.800000071525574,0.0,0.0,167.0
16,2022-02-02 13:17:17+0000,1363,0.0,1.800000071525574,0.0,0.0,135.0
16,2022-01-31 14:04:45+0000,1986,0.0,1.800000071525574,0.0,0.0,241.0
49,2022-01-31 13:42:54+0000,1296,0.0,1.800000071525574,0.0,0.0,246.0
16,2022-01-27 19:38:53+0000,2712,0.0,1.800000071525574,0.0,0.0,279.0
49,2022-01-27 19:20:41+0000,1083,0.0,1.800000071525574,0.0,0.0,188.0
49,2022-01-24 15:07:48+0000,1519,0.0,1.800000071525574,0.0,0.0,283.0
1,2022-01-23 08:13:10+0000,1519,3.571428537368774,0.177683025598526,4313.0,0.3519591987133026,201.0
1,2022-01-23 08:12:59+0000,1531,195.0,0.1952123641967773,4368.0,0.3499999940395355,211.0
16,2022-01-21 11:57:23+0000,1340,0.0,1.800000071525574,0.0,0.0,141.0
45,2022-01-21 11:32:16+0000,824,0.0,1.800000071525574,0.0,0.0,159.0
16,2022-01-20 17:15:19+0000,493,0.0,1.800000071525574,0.0,0.0,50.0
8,2022-01-20 16:50:15+0000,662,330.0,0.3256084024906158,2000.0,0.3310000002384186,136.0
16,2022-01-18 16:51:01+0000,2320,0.0,1.800000071525574,0.0,0.0,240.0
49,2022-01-18 16:33:34+0000,657,0.0,1.800000071525574,0.0,0.0,123.0
16,2022-01-17 07:34:08+0000,3401,0.0,1.800000071525574,0.0,0.0,443.0
16,2022-01-15 09:33:32+0000,1501,0.0,1.800000071525574,0.0,0.0,154.0
49,2022-01-15 08:45:41+0000,580,0.0,1.800000071525574,0.0,0.0,111.0
10,2022-01-15 08:43:45+0000,106,0.0,1.800000071525574,0.0,0.0,4.0
10,2022-01-15 08:32:49+0000,641,0.0,1.800000071525574,0.0,0.0,32.0
16,2022-01-12 16:02:51+0000,3103,0.0,1.800000071525574,0.0,0.0,358.0
1,2022-01-09 07:44:31+0000,1239,8.474575996398926,0.2070393413305283,4138.0,0.2991783618927002,241.0
49,2022-01-08 09:54:57+0000,2648,0.0,1.800000071525574,0.0,0.0,237.0
59,2022-01-06 07:30:32+0000,972,0.0,1.800000071525574,0.0,0.0,102.0
1,2022-01-05 06:42:45+0000,1204,258.0,0.2586025595664978,3799.0,0.3160000145435333,280.0
1,2022-01-03 08:09:57+0000,782,196.0,0.1968893855810165,2456.0,0.3179999887943268,157.0
59,2022-01-03 07:46:29+0000,1254,0.0,1.800000071525574,0.0,0.0,170.0
1,2022-01-03 07:16:29+0000,753,194.0,0.1942238509654999,2422.0,0.3100000023841858,152.0
1,2022-01-03 07:16:20+0000,1637,8.547008514404297,0.198216050863266,4925.0,0.3319796919822693,307.0
1,2022-01-01 08:51:14+0000,728,243.0,0.2431424707174301,2249.0,0.3230000138282776,162.0
1,2022-01-01 08:51:01+0000,834,3.300329923629761,0.238151952624321,2388.0,0.3488274812698364,172.0
59,2022-01-01 08:22:37+0000,1571,0.0,1.800000071525574,0.0,0.0,137.0
1,2022-01-01 08:00:04+0000,740,194.0,0.1932288706302643,2125.0,0.3479999899864197,160.0
1,2021-12-30 07:33:34+0000,759,145.0,0.144500657916069,2049.0,0.3700000047683716,166.0
59,2021-12-30 07:07:14+0000,1546,0.0,1.800000071525574,0.0,0.0,253.0
1,2021-12-30 06:48:06+0000,740,200.0,0.1923545002937317,1977.0,0.3740000128746033,160.0
76,2021-12-28 13:46:41+0000,444,0.0,1.800000071525574,0.0,0.0,31.0
1,2021-12-28 08:12:10+0000,240,270.0,0.2702475190162659,627.0,0.3819999992847443,46.0
59,2021-12-28 07:46:24+0000,1528,0.0,1.800000071525574,0.0,0.0,137.0
1,2021-12-28 07:31:31+0000,708,212.0,0.2126921713352203,2298.0,0.3079999983310699,149.0
1,2021-12-28 07:31:29+0000,1016,2.695417881011963,0.2108370214700699,3000.0,0.3379999995231628,187.0
49,2021-12-18 12:02:03+0000,3322,0.0,1.800000071525574,0.0,0.0,478.0
16,2021-12-17 10:25:49+0000,3245,0.0,1.800000071525574,0.0,0.0,323.0
16,2021-12-14 06:15:04+0000,3425,0.0,1.800000071525574,0.0,0.0,489.0
8,2021-12-12 13:08:15+0000,655,312.0,0.3117642998695374,2050.0,0.3190000057220459,136.0
49,2021-12-10 08:36:27+0000,1794,0.0,1.800000071525574,0.0,0.0,329.0
49,2021-12-08 10:28:43+0000,2150,0.0,1.800000071525574,0.0,0.0,402.0
16,2021-12-07 10:38:16+0000,2245,0.0,1.800000071525574,0.0,0.0,199.0
10,2021-12-05 10:55:42+0000,2253,0.0,1.800000071525574,0.0,0.0,269.0
49,2021-12-04 10:34:25+0000,1280,0.0,1.800000071525574,0.0,0.0,158.0
16,2021-12-03 05:50:13+0000,611,0.0,1.800000071525574,0.0,0.0,115.0
16,2021-12-03 05:28:18+0000,1306,0.0,1.800000071525574,0.0,0.0,123.0
6,2021-12-02 10:58:56+0000,157,608.0,0.6076003909111023,155.0,1.01199996471405,18.0
8,2021-12-02 10:47:55+0000,615,341.0,0.3389634191989899,1970.0,0.3120000064373016,138.0
16,2021-12-02 10:26:57+0000,1250,0.0,1.800000071525574,0.0,0.0,88.0
10,2021-12-02 07:15:23+0000,651,0.0,1.800000071525574,0.0,0.0,64.0
16,2021-11-30 10:12:57+0000,1342,0.0,1.800000071525574,0.0,0.0,108.0
10,2021-11-30 09:51:38+0000,1154,0.0,1.800000071525574,0.0,0.0,168.0
16,2021-11-29 06:07:59+0000,1786,0.0,1.800000071525574,0.0,0.0,176.0
49,2021-11-28 15:12:38+0000,1039,0.0,1.800000071525574,0.0,0.0,189.0
49,2021-11-27 11:40:03+0000,2093,0.0,1.800000071525574,0.0,0.0,360.0
10,2021-11-26 09:52:28+0000,993,0.0,1.800000071525574,0.0,0.0,134.0
16,2021-11-26 09:29:01+0000,1401,0.0,1.800000071525574,0.0,0.0,177.0
6,2021-11-25 17:28:30+0000,1939,5.747126579284668,0.3262642621994019,1830.0,1.059016346931458,50.0
16,2021-11-25 14:27:16+0000,2016,0.0,1.800000071525574,0.0,0.0,210.0
45,2021-11-25 14:00:16+0000,1247,0.0,1.800000071525574,0.0,0.0,202.0
16,2021-11-24 07:03:58+0000,1999,0.0,1.800000071525574,0.0,0.0,163.0
49,2021-11-23 05:40:44+0000,1971,0.0,1.800000071525574,0.0,0.0,366.0
49,2021-11-21 11:51:58+0000,2260,0.0,1.800000071525574,0.0,0.0,349.0
49,2021-11-20 10:14:57+0000,2285,0.0,1.800000071525574,0.0,0.0,400.0
16,2021-11-19 10:32:47+0000,1963,0.0,1.800000071525574,0.0,0.0,241.0
8,2021-11-17 06:33:50+0000,1813,328.0,0.3231540024280548,3556.0,0.5090000033378601,340.0
16,2021-11-15 12:03:17+0000,799,0.0,1.800000071525574,0.0,0.0,69.0
23,2021-11-15 10:54:25+0000,2669,0.0,1.800000071525574,0.0,0.0,422.0
16,2021-11-14 15:39:21+0000,798,0.0,1.800000071525574,0.0,0.0,93.0
16,2021-11-13 12:10:08+0000,2290,0.0,1.800000071525574,0.0,0.0,217.0
49,2021-11-13 11:36:22+0000,1146,0.0,1.800000071525574,0.0,0.0,144.0
49,2021-11-11 18:40:55+0000,1486,0.0,1.800000071525574,0.0,0.0,187.0
16,2021-11-10 07:10:47+0000,1656,0.0,1.800000071525574,0.0,0.0,212.0
45,2021-11-10 05:35:05+0000,1553,0.0,1.800000071525574,0.0,0.0,305.0
16,2021-11-08 09:54:56+0000,1236,0.0,1.800000071525574,0.0,0.0,139.0
49,2021-11-07 13:39:24+0000,2356,0.0,1.800000071525574,0.0,0.0,410.0
16,2021-11-05 11:40:13+0000,3950,0.0,1.800000071525574,0.0,0.0,268.0
49,2021-11-04 10:11:18+0000,3323,0.0,1.800000071525574,0.0,0.0,477.0
16,2021-11-03 07:01:14+0000,1325,0.0,1.800000071525574,0.0,0.0,124.0
49,2021-11-03 05:51:03+0000,2209,0.0,1.800000071525574,0.0,0.0,448.0
49,2021-11-01 10:58:38+0000,2211,0.0,1.800000071525574,0.0,0.0,405.0
59,2021-10-30 12:36:37+0000,678,0.0,1.800000071525574,0.0,0.0,78.0
1,2021-10-30 11:55:44+0000,1510,1.479289889335632,0.2046245038509369,5061.0,0.298162430524826,310.0
16,2021-10-29 09:58:46+0000,1550,0.0,1.800000071525574,0.0,0.0,156.0
49,2021-10-29 06:37:33+0000,1179,0.0,1.800000071525574,0.0,0.0,107.0
16,2021-10-27 12:43:54+0000,5696,0.0,1.800000071525574,0.0,0.0,360.0
16,2021-10-26 12:08:11+0000,906,0.0,1.800000071525574,0.0,0.0,84.0
16,2021-10-25 06:50:17+0000,1335,0.0,1.800000071525574,0.0,0.0,128.0
49,2021-10-25 05:57:01+0000,1749,0.0,1.800000071525574,0.0,0.0,288.0
16,2021-10-22 11:25:18+0000,690,0.0,1.800000071525574,0.0,0.0,65.0
10,2021-10-22 10:17:56+0000,1996,0.0,1.800000071525574,0.0,0.0,127.0
49,2021-10-21 06:18:53+0000,1722,0.0,1.800000071525574,0.0,0.0,295.0
23,2021-10-20 12:37:55+0000,200,0.0,1.800000071525574,0.0,0.0,8.0
16,2021-10-18 11:05:15+0000,1585,0.0,1.800000071525574,0.0,0.0,183.0
8,2021-10-18 10:10:28+0000,1432,300.0,0.3007515966892242,3370.0,0.4239999949932098,272.0
8,2021-10-17 11:09:53+0000,775,326.0,0.326357364654541,2180.0,0.3549999892711639,151.0
49,2021-10-16 17:16:39+0000,1882,0.0,1.800000071525574,0.0,0.0,318.0
16,2021-10-15 11:57:23+0000,899,0.0,1.800000071525574,0.0,0.0,76.0
16,2021-10-14 05:49:15+0000,1873,0.0,1.800000071525574,0.0,0.0,113.0
16,2021-10-13 10:44:12+0000,1834,0.0,1.800000071525574,0.0,0.0,219.0
23,2021-10-13 09:17:07+0000,1982,0.0,1.800000071525574,0.0,0.0,421.0
16,2021-10-11 19:12:37+0000,12,0.0,1.800000071525574,0.0,0.0,1.0
16,2021-10-11 06:34:21+0000,1319,0.0,1.800000071525574,0.0,0.0,97.0
45,2021-10-11 05:45:34+0000,2107,0.0,1.800000071525574,0.0,0.0,434.0
16,2021-10-10 12:31:50+0000,1391,0.0,1.800000071525574,0.0,0.0,120.0
23,2021-10-10 11:59:37+0000,1514,0.0,1.800000071525574,0.0,0.0,216.0
16,2021-10-08 06:26:06+0000,1165,0.0,1.800000071525574,0.0,0.0,123.0
10,2021-10-08 05:39:30+0000,2012,0.0,1.800000071525574,0.0,0.0,407.0
16,2021-10-06 10:41:39+0000,4028,0.0,1.800000071525574,0.0,0.0,355.0
49,2021-10-05 06:32:16+0000,1673,0.0,1.800000071525574,0.0,0.0,294.0
10,2021-10-03 15:50:23+0000,1296,0.0,1.800000071525574,0.0,0.0,111.0
16,2021-10-01 12:15:28+0000,3461,0.0,1.800000071525574,0.0,0.0,369.0
10,2021-09-30 06:12:41+0000,1250,0.0,1.800000071525574,0.0,0.0,175.0
16,2021-09-29 10:25:23+0000,3128,0.0,1.800000071525574,0.0,0.0,264.0
16,2021-09-28 11:35:13+0000,884,0.0,1.800000071525574,0.0,0.0,105.0
6,2021-09-28 11:16:08+0000,268,606.0,0.6066938042640686,261.0,1.023000001907349,38.0
8,2021-09-28 10:41:21+0000,1939,301.0,0.3018405735492706,5400.0,0.3589999973773956,427.0
16,2021-09-27 10:32:34+0000,3180,0.0,1.800000071525574,0.0,0.0,215.0
16,2021-09-26 09:27:10+0000,3051,0.0,1.800000071525574,0.0,0.0,528.0
16,2021-09-25 09:28:17+0000,2416,0.0,1.800000071525574,0.0,0.0,253.0
50,2021-09-24 11:47:31+0000,1726,0.0,1.800000071525574,0.0,0.0,81.0
16,2021-09-23 05:34:07+0000,3843,0.0,1.800000071525574,0.0,0.0,614.0
16,2021-09-22 11:13:21+0000,1631,0.0,1.800000071525574,0.0,0.0,311.0
16,2021-09-20 08:40:08+0000,4563,0.0,1.800000071525574,0.0,0.0,677.0
